px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
13.7247	2.52725	5.03243	0.387632	0.203135	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	1.20365
13.9462	2.62657	4.98905	0.400088	0.205272	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.28995
14.1773	2.78117	5.02512	0.428206	0.220451	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	1.60489
14.4299	2.89062	5.1578	0.436772	0.217706	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	1.09333
14.6326	2.97992	5.09835	0.444088	0.214691	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	1.83104
14.8689	3.12258	5.18772	0.463391	0.221644	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	4.0265
15.0834	3.31129	5.2126	0.498732	0.242433	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	2.50679
15.2987	3.45588	5.11968	0.519575	0.250706	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	3.37787
15.5157	3.64896	5.16297	0.552597	0.268302	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	1.96587
15.7279	3.77299	5.11895	0.563306	0.266209	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	0.699059
15.9468	3.93417	5.14352	0.583185	0.271859	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	0.313195
16.1459	4.07528	5.00999	0.600326	0.276045	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	1.88202
16.3433	4.27887	5.05328	0.633465	0.292689	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	1.68547
16.5564	4.43325	5.08155	0.64732	0.291911	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0.5163
16.7312	4.61429	5.07062	0.673692	0.30203	16.6039	4.67344	16.613	4.5849	3.74	3.28438	1.09515
16.8921	4.76929	4.82878	0.697386	0.31172	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	4.45573
17.056	5.00361	4.88333	0.738669	0.333803	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	2.84512
17.2301	5.15383	4.82675	0.752544	0.331822	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	1.09147
17.3834	5.35372	4.83657	0.782336	0.343119	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0.900042
17.5437	5.50218	4.74918	0.795979	0.340769	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	2.36301
17.7218	5.65833	4.7485	0.806364	0.335097	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	0.289876
17.8735	5.83029	4.66111	0.82705	0.339502	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	0.924165
18.0406	6.04468	4.72586	0.85312	0.347349	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	1.29549
18.197	6.238	4.7532	0.873523	0.349873	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	1.07298
18.3197	6.48899	4.80834	0.914699	0.370052	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	2.44131
18.4584	6.68539	4.77579	0.936776	0.373694	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0.502111
18.5925	6.84901	4.72878	0.948988	0.368112	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	0.594224
18.7436	7.05416	4.81724	0.965029	0.365127	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	0.67153
18.9244	7.22574	4.82527	0.965991	0.350592	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	2.72313
19.0207	7.40733	4.65576	0.991845	0.359458	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	3.82538
19.115	7.67938	4.73678	1.03531	0.381109	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	2.83136
19.2378	7.88177	4.75215	1.05227	0.379008	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	0.158487
19.3154	8.1081	4.74576	1.08494	0.390435	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	1.83986
19.4157	8.31571	4.77173	1.10432	0.389315	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	2.18191
19.5007	8.4765	4.66987	1.11748	0.383653	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	2.85814
19.5955	8.67658	4.6187	1.13697	0.384556	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	0.41509
19.7428	8.87486	4.64084	1.13988	0.371146	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	3.6403
19.823	9.08516	4.57242	1.1643	0.377347	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	0.936993
19.9456	9.32953	4.65406	1.18038	0.375463	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	3.26171
20.0019	9.53139	4.51355	1.2088	0.385843	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	2.43328
20.0853	9.78444	4.58765	1.23412	0.391212	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	1.16388
20.1495	10.0327	4.67112	1.26028	0.395825	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	7.52627
20.1994	10.3158	4.76407	1.29589	0.409319	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	1.52584
20.2272	10.5313	4.63141	1.32843	0.422072	19.6775	10.803	20.1271	10.6247	0.845742	4.77652	3.39836
20.2831	10.8209	4.74848	1.35886	0.430355	20.371	11.0109	20.1663	10.864	0.722256	4.7934	2.50158
20.3155	11.0738	4.78013	1.38774	0.436504	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	5.17933
20.3471	11.3219	4.79989	1.4141	0.440307	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	0.100421
20.3175	11.5346	4.56499	1.46188	0.467849	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	12.444
